org_id	org_name
8259	Banibangou Vigilance Committee
559	Ahlul Sunnah Jamaa
560	NDPVF
588	Bakassi boys
1193	FNDIC
893	Supporters of ACN
668	Supporters of PDP
571	Supporters of AD
580	Supporters of ANPP
702	Yugur
643	Mambila
611	Gamai
666	Pan
608	Hausa
621	Igbo
689	Tarok
701	Yoruba
622	Ijaw
625	Itsekiri
626	Izzi (Igbo)
694	Ukele
657	NDV
939	Adoni
1031	Ogoni
940	Azara
1032	Tiv
941	Efik
942	Ibibio
943	Wurukum
3798	Afisare, Anaguta, Birom
3800	Fulani, Hausa
945	Ninzam
946	Ife
947	Modakeke
948	Ilaje
949	Urhobo
950	Jukun
951	Karimjo
952	Kwala
954	Ndoki
955	Eleme
1033	Okrika (Ijaw)
957	Aguleri
956	Umuleri
3795	Ijaw, Urhobo
1002	Afor
1014	Atyap
3797	Igbo, Yoruba
1020	Christians (Nigeria)
1021	Muslims (Nigeria)
1022	Bini
1023	Supporters of UNPP
1094	Boje
1095	Nsadop
589	Birom
1118	Oleh (Isoko)
1119	Olmoro (Isoko)
1140	Sayawa
1134	Ezilo
1135	Ezza
1167	Deebam
1168	Deewell
3871	Black Axe, Bush Boys, Deebam, KK, NDV
1169	Outlaws
1171	Alago
1172	Eggon
1173	Greenlanders
1189	Isenasawo
1190	Isongo-furo
1191	Forces of Agala
1192	Forces of Edu
3107	Black Axe
3108	Eyie
3116	Maphite
3981	NURTW-Auxiliary
3332	NURTW-Tokyo
4000	Yan Gora
4022	Atakar
4120	Agatu
1487	Kuteb
4290	Ikpanya (Ibibio)
5787	Supporters of APC
6001	Gwandere
6287	IPOB
6659	Ikot-Offiong community
6660	Oku Iboku community
6765	Wanhihem community
6766	Wanikade community
6767	Kadara
6805	Irigwe
3103	Bwatiye
7079	Bassa Kwomu
7240	Egbura Mozum
7026	Yandang
7372	Yan Sakai
7373	Lunguda
4274	Waja
7428	Ikurav (Tiv)
7427	Shitile (Tiv)
7593	Abugbe (Agatu)
7592	Agbaduma (Agatu)
7700	Jole
7701	Shomo
7720	Ichen
7721	Chabo
8058	Bonta Boys
8151	Korri
1166	BLF
287	BLA
288	Baloch Ittehad
289	BRA
354	MQM
1046	Fedayeen Islam
399	Lashkar-e-Islam
3047	TTP-Islahi
3192	UBA
398	Ansaar ul-Islam
790	Bangesh
791	Turi
787	Lashkhar of Wazir tribe
792	Forces of Shah Sahib
794	Kachai sub-tribe of Bangesh
795	Mishti
796	Lashkar of Salarzai tribe
797	Mangal
832	MQM-H
887	Lashkar of Orakzai tribe
888	Forces of Turkestan Bhittani
1100	Forces of Momin Afridi
1101	TTP - TA
1102	TTP - MR
1103	TTP - MT
1142	Lashkar of Zakakhel tribe
1143	Laskhar of Masozai Qaumi tribe
1155	Lashkar of Kukikhel clan
1177	Lashkar of Akakhel tribe
2848	Mohajir
2847	Pashtun
2849	Sindhi
2864	Jatoi
2863	Meher
2941	Supporters of MQM
2930	Supporters of PPP
2952	Khadadkhel
2951	Oatizai
2953	Supporters of Yousaf Ali Khan Magsi
2954	Supporters of Zulfikar Ali Khan Magsi
2987	Lashkar of Mohmand tribe
1178	Tawheed ul-Islam
5895	Jaish-ul-Islam
5928	Jamaat-ul-Ahrar
7542	BRAS
16	Government of Panama
761	Military faction (forces of Moisés Giroldi)
157	Government of Papua New Guinea
328	BRA
833	Wagia subclan of Takima
834	Wayai subclan of Takima
836	Unjamap
835	Wogia-Tunjup
4467	Akibu
4468	Tonakau
3228	Akul
3229	Kambrip
7632	Oi Kuru
7633	Libe Koi
8021	Agarabi
8020	Tapo
24	Government of Paraguay
724	Military faction (forces of Andres Rodriguez)
750	Sendero Luminoso
751	MRTA
169	CPP
170	Military faction (forces of Honasan, Abenina & Zumel)
275	MNLF
276	MILF
278	MNLF - NM
279	MNLF - HM
882	Ampatuan militia
2933	Al-Khobar
390	Lumad
391	Moro
837	Hadji Faizal Abdulkarim clan
838	Hadji Masir Ahalul clan
848	Forces of Jing Caludtiag
849	Forces of Randy Karon
872	Christians (Philippines)
873	Muslims (Philippines)
1146	BIFM
6578	Maute group
6998	al-Harakat al-Islamiyah
6999	BIFM-K
56	Government of Romania
329	NSF
6137	Military faction (forces of Nicolae Ceausescu)
330	Republic of Armenia
331	APF
351	Parliamentary Forces
358	Wahhabi movement of the Buinaksk district
367	Forces of the Caucasus Emirate
382	Gazotan Murdash
840	Armenian
839	Azeri
841	Forces of Ruslan Labazanov
842	Provisional Council of the Chechen Republic
843	Republic of Georgia
852	Meskhetian Turk
61	Government of Ukraine
5839	LPR
123	Government of Yemen (North Yemen)
6254	Forces of Hadi
649	MFDC - FN
650	MFDC Front Nord - MD
651	MFDC - S
336	Republic of Slovenia
846	SAO Eastern Slavonia, Baranja and Western Symria
847	SAO Krajina
534	Kamajors
535	WSB
501	SPM
502	USC/SSA
503	USC/SNA
504	SRRC
1004	Hizbul Islam
678	RRA
974	SPM/SNA
1028	Abgal clan (Hawiye)
891	Xawaadle clan (Hawiye)
569	Abtisame subclan of Galje'el clan (Hawiye)
573	Afi subclan of Galje'el clan (Hawiye)
575	Agon-Yar subclan of Abgal clan (Hawiye)
699	Warsangeli subclan of Abgal clan (Hawiye)
894	Ahlu Sunna Waljamaca
576	Ali-Gaf subclan of Abgal clan (Hawiye)
642	Mahadade subclan of Abgal clan (Hawiye)
584	ARPCT
593	Dabare subclan of Digil clan (Digil-Mirifle)
640	Luway subclan of Mirifle clan (Digil-Mirifle)
595	Da'ud subclan of Abgal clan (Hawiye)
600	Dir clan
680	Sa'ad subclan of Habar Gidir clan (Hawiye)
602	Duduble subclan of Gorgorte clan (Hawiye)
687	Suleiman subclan of Habar Gidir clan (Hawiye)
568	Forces of Abdullahi Yusuf
627	Forces of Jama Ali Jama
897	Gaadsan subclan of Biimaal clan (Dir)
898	Ma'alin Weyne subclan of Mirifle clan (Digil-Mirifle)
610	Galje'el clan (Hawiye)
631	Jejele subclan of Jibedi clan (Hawiye)
618	Huber subclan of Mirifle clan (Digil-Mirifle)
700	Yantar subclan of Mirifle clan (Digil-Mirifle)
634	JVA
788	JVA faction
1082	Forces of General Morgan
604	Fiqi Muhumud subclan (Dir)
654	Mohamed Muse subclan of Abgal clan (Hawiye)
671	Puntland State of Somalia
677	RRA - MH
1121	Saleban Abdalla subclan of Surre clan (Dir)
698	USC/SSA - OMF
958	Abdalle subclan of Habar Awal clan (Isaaq)
959	Aidagalla subclan of Habar Garhadjis clan (Isaaq)
